work_id	stationer_entries_in_register
86	"Nov 12, 1584: Entered to Thomas Hacket: ""a booke entituled fidele & fortun<i>a</i>. The deceipt<i>es</i> in love Discoursed in a Com<i>m</i>edie of ij Italyan gent<i>lemen</i> & translated into englishe."""
87	None
88	None
89	None
90	None
91	"Feb 9, 1596: Transferred from the widow of Thomas Woodcock to Paul Linley: ""all and eu<i>er</i>y book<i>es</i> and part<i>es</i> of book<i>es</i> whatsoeu<i>er</i> Whiche Laufully apperteyned to her late husband Thomas woodcocke after his Deceas to her"".<br />Jun 26, 1600: Transferred from Paul Linley (decd.) to John Flasket: ""The first & second comedie of Terence in Inglishe""."
92	None
93	"Jul 31, 1590: Entered to Richard Jones: ""a comodie of the plesant and statelie morrall of the Three lord<i>es</i> of London""."
94	"Aug 14, 1590: Entered to Richard Jones: ""The twooe com<i>m</i>icall discourses of Tomberlein the Cithian shepparde""."
95	"Aug 14, 1590: Entered to Richard Jones: ""The twooe com<i>m</i>icall discourses of Tomberlein the Cithian shepparde""."
96	None
97	"Feb 9, 1591: ""A book intituled The Countesse of Pembrook<i>es</i> Ivye church""."
98	"Oct 1, 1591: Entered to John Wolfe: ""the honorable entertaynement gyven to the quenes ma<sup>tie</sup> in progresse at Elvetham in hampshire by the righte honorable the Erle of Hertford""."
99	"Oct 4, 1591: Entered to Joan Broome: ""Three Comedies plaied before her maiestie by the Children of Paules / thone Called. Endimion.""<br />Aug 23, 1601: Transferred from Joan Broome decd. to George Potter: ""Endimion"".<br />Jan 9, 1628: Entered to Edward Blount (by order of a full court): ""Endimion""."
100	None
101	None
102	None
103	None
104	None
105	"Apr 1, 1585: Entered to Gabriel Cawood (no fee): ""A Com<i>m</i>oedie of Titirus and Galathea"".<br />Oct 4, 1591: Entered to Joan Broome: ""Three Comedies plaied before her maiestie by the Children of Paules / ... Thother. Galathea"".<br />Aug 23, 1601: Transferred from Joan Broome decd. to George Potter: ""Galathea"".<br />Jan 9, 1628: Entered to Edward Blount (by order of a full court): ""Galathra:""."
106	"Oct 4, 1591: Entered to Joan Broome: ""Three Comedies plaied before her maiestie by the Children of Paules / ... and theother, Midas.""<br />Aug 23, 1601: Transferred from Joan Broome decd. to George Potter: ""Mydas"".<br />Jan 9, 1628: Entered to Edward Blount (by order of a full court): ""Midas""."
107	"Apr 3, 1592: Entered to Edward White (1): ""The tragedie of Arden of Feuersham & blackwill.""<br />Dec 18, 1592: Ordered in full Court that, ""Whereas Edward white and abell Ieffes haue eche of them offendyd. viz Edw White in havinge printed the spanish tragedie belonging to Abell Ieffes / and Abell Ieffes in having printed the tragedie of arden of kent belonginge to Edw White. yt is agreed that all the bookes of eche ympression shalbe as confiscated and forfayted, according to thordonnances, disposed to thuse of the poore of the companye / for that eche of them hath seuerally transgressed the ordonnances of the seid impressions""; each to pay a fine of 10s., and the question of their imprisonment be referred to the Master, Wardens, and Assistants (Court Book B, fol. 456<sup>b</sup>).<br />Jun 29, 1624: Transferred from the widow of Edward White (2) to Edward Allde: ""Arden of Feuersham""."
108	"May 3, 1592: Entered to William Ponsonby: ""Anthonius a tragedie wrytten also in french by Rob<i>er</i>t Garnier. ... don<i>n</i>e in Englishe by the Countesse of Pembrok""."
109	"Nov 20, 1592: Entered to Edward White (1): ""the tragedye of Salamon and Perceda."""
110	"Oct 6, 1592: Entered to Abel Jeffes: ""a booke w<sup>che</sup> is called the Spanishe tragedie of Don Horatio and Bellimpera &c"".<br />Dec 18, 1592: Ordered in full Court that, ""Whereas Edward white and abell Ieffes haue eche of them offendyd. viz Edw White in havinge printed the spanish tragedie belonging to Abell Ieffes / and Abell Ieffes in having printed the tragedie of arden of kent belonginge to Edw White. yt is agreed that all the book<i>es</i> of eche ympression shalbe as confiscated and forfayted, according to thordonnanc<i>es</i>, disposed to thuse of the poore of the companye / for that eche of them hath seuerally transgressed the ordon<i>n</i>anc<i>es</i> of the seid impressions""; each to pay a fine of 10s., and the question of their imprisonment be referred to the Master, Wardens, and Assistants (Court Book B, fol. 456<sup>b</sup>).<br />Aug 13, 1599: Transferred from Abel Jeffes to William White: ""The span<i>n</i>ishe tragedie of horatio and bellimpera"".<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""The Spanishe Tragedie"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""The spanish tragedie""."
111.1	None
111.2	None
111.3	None
112	"Oct 8(?), 1593: Entered to Abel Jeffes: ""the Chronicle of Kinge Edward the firste surnamed Longeshank w<sup>th</sup> his Retourne out of the holye lande, w<sup>th</sup> the lyfe of Leublen Rebell in Wales w<sup>th</sup> the sinkinge of Quene Elino<sup>r</sup>"".<br />Aug 13, 1599: Transferred from Abel Jeffes to William White: ""Edward Longshank<i>es</i>.""<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""An Enterlude Called Edward longe shank<i>es</i>""."
113	None
114	"Oct 23, 1593: Entered to John Danter: ""an enterlude of the lyfe and deathe of Iack Straw"".<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""An Interlude of Iack strawe""."
115	"Jan 7, 1594: Entered to Richard Jones: ""A com<i>m</i>edie entitled a Knack to knowe a knave newlye sett fourth as it hath sundrye tymes ben plaid by Ned. Allen and his Companie w<sup>th</sup> kemps applauded Meryment<i>es</i> of the men<i>n</i> of Goteh<i>a</i>m."""
116	"Jan 26, 1594: Entered to Nicholas Ling and John Busby (1): ""a booke called Cornelia/ Thomas Kydd being the Autho<sup>r</sup>""."
117	"Feb 6, 1594: Entered to John Danter: ""a booke intituled a Noble Roman Historye of Tytus Andronicus"".<br />Apr 19, 1602: Transferred from Thomas Millington to Thomas Pavier: ""A booke called Titus and Andronic<i>us</i>"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""Tytus & Andronicus"".<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""Titus and Andronicus."""
118	"Mar 5, 1594: Entered to Thomas Creede: ""a booke intituled the lookinge glasse for london / by Tho. lodg. and Robert Greene gent<i>lemen</i>"".<br />Aug 14, 1600: Entered ""These Copyes followinge beinge thing<i>es</i> formerlye printed & sett over to"" Thomas Pavier: ""The lookinge glas for London""."
119	"Mar 12, 1594: Entered to Thomas Millington: ""a booke intituled, the firste p<i>ar</i>te of the Contention of the twoo famous houses of york and Lancaster w<sup>th</sup> the deathe of the good Duke Humfrey and the banishment and deathe of the duke of Suff<i>olk</i> and the tragicall ende of the prowd Cardinall of winchester/ w<sup>th</sup> the notable rebellion of Iack Cade and the duke of york<i>es</i> firste clayme vnto the Crowne"".<br />Apr 19, 1602: Transferred from Thomas Millington to Thomas Pavier: ""The first and Second p<i>ar</i>te of henry the vj<sup>t</sup> ii book<i>es</i>"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""M<sup>r</sup>. Paviers right in Shakesperes plaies or any of them"".<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""Yorke and Lancaster""."
120	"May 2, 1594: Entered to Peter Short: ""a booke intituled A plesant Conceyted historie called the Tayminge of a Shrowe"".<br />Jan 22, 1607: Transferred from Cuthbert Burby to Nicholas Ling: ""The taminge of A Shrewe"".<br />Nov 19, 1607: Transferred from Nicholas Ling to John Smethwick: ""The taminge of A Shrewe"".<br />Aug 24, 1642: Transferred from John Smethwick decd. to Francis Smethwick: ""salvo iure cuiuscunq<i>ue</i> ... The tameing of a shrew.""<br />Sep 14, 1642: Transferred from Francis Smethwick to Miles Flesher: ""The tameing of a shrew."""
121	"May 14, 1594: Entered to Edward White (1) (replacing Adam Islip): ""a booke entituled the Historye of ffryer Bacon and ffryer Boungaye"".<br />Jun 29, 1624: Transferred from the widow of Edward White (2) to Edward Allde: ""Fryer Bacon and freir Bungay.""<br />Apr 22, 1640: Transferred from Elizabeth Allde decd. to Richard Oulton: ""saluo Iure cuiuscunq<i>ue</i> ... ffrier Bacon & ffrier Bungey."""
122	"May 24, 1594: Entered to John Danter: ""a booke intituled the wound<i>es</i> of Civill Warre liuely sett forthe in the true Tragedies of Marius and Scilla""."
123	"Dec 7, 1593: Entered to John Danter: ""a plaie booke, intituled, the historye of / Orlando ffurioso./ one of the xij peeres of ffraunce"".<br />May 28, 1594: Transferred from John Danter to Cuthbert Burby: ""A booke entytuled. The historie of Orlando furioso. &c"".<br />Oct 16, 1609: Transferred from the widow of Cuthbert Burby to William Welby (any indirect dealing to forfeit the copy): ""orlando the play"".<br />Mar 2, 1618: Transferred from William Welby to Thomas Snodham: ""Orlando. the play.""<br />Feb 23, 1626: Transferred from the widow of Thomas Snodham to William Stansby: ""Orlando the play"".<br />Mar 4, 1639: Transferred from William Stansby decd. (with consent of his widow) to Richard Bishop: ""saluo Iure cuiuscunq<i>ue</i> ... Orlando. the. play."""
124	"Jun 8, 1594: Entered to Cuthbert Burby: ""a booke intituled / The Coblers prophesie""."
125	"Jun 18, 1594: Entered to Cuthbert Burby: ""a booke intituled Mother Bumbye beinge an enterlude"".<br />Jan 9, 1628: Entered to Edward Blount (by order of a full court): ""Mother Bomby."""
126	"Jun 19, 1594: Entered to Thomas Creede: ""an enterldue intituled. / The Tragedie of Richard the Third wherein is showen the death of Edward the ffourthe, w<sup>th</sup> the smotheringe of the twoo princes in the tower/. with a lamentable end of Shores wife / and the Coniunction of the twoo houses of Lancaster and yorke""."
127	None
128	"Feb 9, 1596: Transferred from the widow of Thomas Woodcock to Paul Linley: ""all and eu<i>er</i>y book<i>es</i> and part<i>es</i> of book<i>es</i> whatsoeu<i>er</i> Whiche Laufully apperteyned to her late husband Thomas woodcocke after his Deceas to her"".<br />Jun 26, 1600: Transferred from Paul Linley decd. to John Flasket: ""Cupydes Iourney to hell w<sup>th</sup> the tragedie of dido""."
129	"Jul 6, 1593: Entered to William Jones (2): ""A booke. Intituled The troublesom Reign and Lamentable Death of Edward the Second, king of England, w<sup>th</sup> the tragicall fall of proud Mortymer"".<br />Dec 16, 1611: Transferred from William Jones (2) to Roger Barnes: ""A booke called the troublesome raygne & lamentable deathe of Edward the 2<sup>d</sup>. by Chr[is]. Marlowe gent[leman]"".<br />Apr 17, 1617: Transferred from Roger Barnes to Henry Bell: ""a booke Called The tragedie of Edward the seconde written by Christofer Marloe.""<br />Sep 4, 1638: Transferred from Henry Bell and Moses Bell to John Haviland and John Wright (1): ""Saluo Iure Cuiuscunq<i>ue</i>. ... Edward the Second by M<sup>r</sup> Marloe. a Play."""
130	None
131	None
132	"Oct 19, 1593: Entered to Simon Waterson: ""a booke intituled The Tragedye of Cleopatra"".<br />Aug 19, 1635: Transferred from Simon Waterson to John Waterson: ""The Tragedy of Cleopatra."""
133	None
134	"May 13(?), 1594: Entered to Thomas Creede: ""a plea booke intituled, the Pedlers Prophesie""."
135	"Jun 10, 1594: Entered to Thomas Creede: ""a booke entituled menachmi beinge A pleasant and fine Conceyted Comedye taken out of the moste excellent wittie Poett. Plautus chosen purposely from out the reste as leaste harmefull and yet moste delighfull""."
136	"Jul 20, 1594: Entered to Thomas Creede: ""The lamentable Tragedie of Locrine, the eldest sonne of K. Brutus. discoursinge the warres of the Brittans &c<i>es</i>."""
137	"Apr 16, 1595: Entered to Ralph Hancock: ""a booke or interlude intituled a pleasant Conceipte called the owlde wifes tale""."
138	"Apr 19, 1602: Transferred from Thomas Millington to Thomas Pavier: ""Salvo Iure cuiuscu<i>m</i>q<i>ue</i> viz ... The first and Second p<i>ar</i>te of henry the vj<sup>t</sup> ii book<i>es</i>"".<br />Aug 4, 1626: Transferred from the widow of Thomas Pavier to Edward Brewster and Robert Bird: ""M<sup>r</sup>. Paviers right in Shakesperes plaies or any of them"".<br />Nov 8, 1630: Transferred from Robert Bird to Richard Cotes: ""Yorke and Lancaster""."
139	"Nov 26, 1595: Entered to Cuthbert Burby: ""a booke intituled The most Rare and pleasaunt historie of A knack to knowe an honest man""."
140	"Dec 1, 1595: Entered to Cuthbert Burby.<br />Oct 16, 1609: Transferred from the widow of Cuthbert Burby to William Welby (any indirect dealing to forfeit the copy): ""A book Intituled Edward the Third and the blacke prince their warres w<sup>th</sup> kinge Iohn of Fraunce"".<br />Mar 2, 1618: Transferred from William Welby to Thomas Snodham: ""Edward the 3<sup>d</sup> the play.""<br />Feb 23, 1626: Transferred from the widow of Thomas Snodham to William Stansby: ""Edward the third the play"".<br />Mar 4, 1639: Transferred from William Stansby decd. (with consent of his widow) to Richard Bishop: ""saluo Iure cuiuscunq<i>ue</i> ... Edward the Third the play."""
141	"Aug 29, 1597: Entered to Andrew Wise: ""The Tragedye of Richard the Second"".<br />Jun 25, 1603: Transferred from Andrew Wise to Matthew Law: ""iij enterlud<i>es</i> or playes. ... The second of Richard the .2. ... all king<i>es</i>."""
142	"Oct 20, 1597: Entered to Andrew Wise: ""The tragedie of kinge Richard the Third with the death of the duke of Clarence"".<br />Jun 25, 1603: Transferred from Andrew Wise to Matthew Law: ""iij enterlud<i>es</i> or playes. The ffirst is of Richard the .3. ... all king<i>es</i>."""
143	"Jan 22, 1607: Transferred from Cuthbert Burby to Nicholas Ling: ""Romeo & Iuliett.""<br />Nov 19, 1607: Transferred from Nicholas Ling to John Smethwick: ""Romeo and Iulett"".<br />Aug 24, 1642: Transferred from John Smethwick decd. to Francis Smethwick: ""salvo iure cuiuscunq<i>ue</i> ... Romeo & Iuliett.""<br />Sep 14, 1642: Transferred from Francis Smethwick to Miles Flesher: ""Romeo & Iuliett""."
144	"Sep 22, 1595: Entered to Robert Finch: ""a booke intitule [<i>sic</i>] a woman in the moone""."
145	"Feb 25, 1598: Entered to Andrew Wise: ""a booke intituled The historye of Henry the iiij<sup>th</sup> with his battaile of Shrewsburye against Henry Hottspurre of the Northe w<sup>th</sup> the conceipted mirthe of S<sup>r</sup> Iohn ffalstoff"".<br />Jun 25, 1603: Transferred from Andrew Wise to Matthew Law: ""iij enterlud<i>es</i> or playes. ... The Third of Henry the .4 the first p<i>ar</i>te. all king<i>es</i>."""
146	"Aug 15(?), 1598: Entered to William Jones (2): ""a booke intituled, The blynde beggar of Alexandrya./ vppon Condic<i>i</i>on thatt yt belonge to noe other man""."
147	"Oct 5, 1598: Entered to William Ponsonby: ""A booke, intituled, The Tragicomoedye of the Vertuous Octavia, donne by Samuell Brandon""."
148	"May 14, 1594: Entered to Thomas Creede: ""a book intituled/ The famous victories of henrye the ffyft / conteyninge the honorable battell of Agincourt""."
149	"May 14, 1594: Entered to Thomas Creede: ""a booke intituled, the Scottishe story of Iames the ffourthe slayne at fflodden, intermixed w<sup>th</sup> a plesant Comedie presented by Oborom kinge of ffayres""."
150	"Jan 22, 1607: Transferred from Cuthbert Burby to Nicholas Ling: ""Loues Labour Loste.""<br />Nov 19, 1607: Transferred from Nicholas Ling to John Smethwick: ""Loues labour Lost"".<br />Aug 24, 1642: Transferred from John Smethwick decd. to Francis Smethwick: ""salvo iure cuiuscunq<i>ue</i> ... Loues Labour lost.""<br />Sep 14, 1642: Transferred from Francis Smethwick to Miles Flesher: ""Loues labour lost."""
151	"Sep 17, 1618: Transferred from the widow of William Jones (2) to John Wright (1): ""The Comedy Called Mucedorus"".<br />Jun 27, 1646: Transferred from John Wright (1) to Edward Wright: ""The Comedie of Mucedorus.""<br />Apr 4, 1655: Transferred from Edward Wright to William Gilbertson: ""The Comedy called Mucedorus.""<br />Jun 17, 1656: Transferred from William Gilbertson to Francis Coles: ""the Comedie called Mucedorus""."
152	None
153	"Aug 28, 1599: Entered to John Oxonbridge and John Busby (1): ""Twoo playes beinge the ffirst & Second part<i>es</i> of Edw: the iiij<sup>th</sup>. & the Tann<i>er</i> of Tamworth. With the history of the life & deathe of m<sup>r</sup> Shore & Iane Shore his Wyfe as yt was lately acted by the Right honorable the Erle of Derbye his serv<sup>t<i>es</i></sup>"".<br />Feb 23, 1600: Transferred from John Busby (1) to Humphrey Lownes (1): ""the first & second p<i>ar</i>t<i>es</i> of Edw the iiij<sup>th</sup> & the tanner of Tamworthe With the history of the lyfe and death of m<sup>r</sup> Shore and his wyfe &c"" [""Entred by direction of m<sup>r</sup> man. and Iohn Busby being p<i>rese</i>nt"".]<br />May 30, 1627: Transferred from Humphrey Lownes (1) to Humphrey Lownes (2) and Robert Young: ""Iane Shore 2. part<i>es</i>.""<br />Nov 6, 1628: Transferred from Humphrey Lownes (2) to George Cole and George Latham: ""Iane Shore 2 p<i>ar</i>t<i>es</i>.""<br />Dec 6, 1630: Transferred from George Cole and George Latham to Robert Young: ""Iane Shore 2 p<i>ar</i>t"".<br />Jul 22, 1644: Transferred from Robert Young decd. to James Young: ""(Salvo iure cuiuscunq<i>ue</i>) ... Iane Shore 2. parts."""
154	"Aug 28, 1599: Entered to John Oxonbridge and John Busby (1): ""Twoo playes beinge the ffirst & Second part<i>es</i> of Edw: the iiij<sup>th</sup>. & the Tann<i>er</i> of Tamworth. With the history of the life & deathe of m<sup>r</sup> Shore & Iane Shore his Wyfe as yt was lately acted by the Right honorable the Erle of Derbye his serv<sup>t<i>es</i></sup>"".<br />Feb 23, 1600: Transferred from John Busby (1) to Humphrey Lownes (1): ""the first & second p<i>ar</i>t<i>es</i> of Edw the iiij<sup>th</sup> & the tanner of Tamworthe With the history of the lyfe and death of m<sup>r</sup> Shore and his wyfe &c"" [""Entred by direction of m<sup>r</sup> man. and Iohn Busby being p<i>rese</i>nt"".]<br />May 30, 1627: Transferred from Humphrey Lownes (1) to Humphrey Lownes (2) and Robert Young: ""Iane Shore 2. part<i>es</i>.""<br />Nov 6, 1628: Transferred from Humphrey Lownes (2) to George Cole and George Latham: ""Iane Shore 2 p<i>ar</i>t<i>es</i>.""<br />Dec 6, 1630: Transferred from George Cole and George Latham to Robert Young: ""Iane Shore 2 p<i>ar</i>t"".<br />Jul 22, 1644: Transferred from Robert Young decd. to James Young: ""(Salvo iure cuiuscunq<i>ue</i>) ... Iane Shore 2. parts."""
155	"Nov 17, 1599: Entered to William Aspley: ""A warnynge for fayer women."""
156	None
157	None
158	"Apr 1, 1595: Entered to Curthbert Burby: ""an Enterlude called the Pynder of Wakefeild"".<br />Oct 16, 1609: Transferred from the widow of Cuthbert Burby to William Welby (any indirect dealing to render entrance void): ""pynner of wakefeild"".<br />Mar 2, 1618: Transferred from William Welby to Thomas Snodham: ""Pinder of Wakefield. play."".<br />Feb 23, 1626: Transferred from the widow of Thomas Snodham to William Stansby: ""Pinder of Wakefeild, playe"".<br />Mar 4, 1639: Transferred from William Stansby decd. (with consent of his widow) to Richard Bishop: ""saluo Iure cuiuscunq<i>ue</i> ... Pindar of wakefeild. a play."""
159	None
160	"May 14, 1594: Entered to Edward White (1) (replacing Adam Islip): ""the booke of David and Bethsaba"".<br />Jun 29, 1624: Transferred from the widow of Edward White (2) to Edward Allde: ""Salomon and Bersheba [<i>sic</i>]""."
161	None
162	"Feb 20, 1600: Entered to William Aspley: ""A com<i>m</i>edie called old Fortunatus in his newe lyu<i>er</i>ie""."
163	"Apr 8, 1600: Entered to William Holme (3): ""A Comicall Satyre of eu<i>er</i>y man out of his humo<sup>r</sup>"".<br />Apr 28, 1638: Transferred from John Smethwick to Richard Bishop: ""a play called Euery man out of his humour by Ben: Iohnson""."
